match_id,bowling_team,bowler,overs,maidens,runs,wickets,economy,0s,4s,6s,no_of_wides,no_of_no_balls,match
1422119,Chennai Super Kings,DL Chahar,4.0,0,37,1,9.25,10,7,0,2,0,Chennai Super Kings vs Royal Challengers Bengaluru
1422119,Chennai Super Kings,M Theekshana,4.0,0,36,0,9.0,3,1,2,0,0,Chennai Super Kings vs Royal Challengers Bengaluru
1422119,Chennai Super Kings,Mustafizur Rahman,4.0,0,29,4,7.25,11,3,1,2,0,Chennai Super Kings vs Royal Challengers Bengaluru
1422119,Chennai Super Kings,RA Jadeja,4.0,0,21,0,5.25,7,1,0,0,0,Chennai Super Kings vs Royal Challengers Bengaluru
1422119,Chennai Super Kings,TU Deshpande,4.0,0,47,0,11.75,10,4,3,5,0,Chennai Super Kings vs Royal Challengers Bengaluru
1422119,Royal Challengers Bengaluru,AS Joseph,3.4,0,38,0,10.36,3,1,2,4,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422119,Royal Challengers Bengaluru,C Green,3.0,0,27,2,9.0,5,1,1,3,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422119,Royal Challengers Bengaluru,GJ Maxwell,1.0,0,7,0,7.0,4,0,1,0,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422119,Royal Challengers Bengaluru,KV Sharma,2.0,0,24,1,12.0,4,0,3,0,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422119,Royal Challengers Bengaluru,Mayank Dagar,2.0,0,6,0,3.0,6,0,0,0,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422119,Royal Challengers Bengaluru,Mohammed Siraj,4.0,0,38,0,9.5,9,5,1,1,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422119,Royal Challengers Bengaluru,Yash Dayal,3.0,0,28,1,9.33,8,3,1,0,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422120,Delhi Capitals,AR Patel,4.0,0,25,0,6.25,4,1,0,0,0,Delhi Capitals vs Punjab Kings
1422120,Delhi Capitals,I Sharma,2.0,0,16,1,8.0,8,3,0,3,0,Delhi Capitals vs Punjab Kings
1422120,Delhi Capitals,KK Ahmed,4.0,0,43,2,10.75,7,8,0,0,0,Delhi Capitals vs Punjab Kings
1422120,Delhi Capitals,Kuldeep Yadav,4.0,0,20,2,5.0,6,1,0,0,0,Delhi Capitals vs Punjab Kings
1422120,Delhi Capitals,MR Marsh,4.0,0,52,0,13.0,5,5,3,1,0,Delhi Capitals vs Punjab Kings
1422120,Delhi Capitals,Sumit Kumar,1.2,0,19,0,14.25,2,2,1,2,0,Delhi Capitals vs Punjab Kings
1422120,Punjab Kings,Arshdeep Singh,4.0,0,28,2,7.0,15,2,2,2,0,Punjab Kings vs Punjab Kings
1422120,Punjab Kings,HV Patel,4.0,0,47,2,11.75,6,6,2,0,0,Punjab Kings vs Punjab Kings
1422120,Punjab Kings,Harpreet Brar,3.0,0,14,1,4.67,7,1,0,0,0,Punjab Kings vs Punjab Kings
1422120,Punjab Kings,K Rabada,4.0,0,36,1,9.0,10,1,4,1,0,Punjab Kings vs Punjab Kings
1422120,Punjab Kings,RD Chahar,4.0,0,33,1,8.25,6,3,1,0,0,Punjab Kings vs Punjab Kings
1422120,Punjab Kings,SM Curran,1.0,0,10,0,10.0,3,2,0,1,0,Punjab Kings vs Punjab Kings
1422121,Kolkata Knight Riders,AD Russell,2.0,0,25,2,12.5,3,4,1,0,0,Kolkata Knight Riders vs Sunrisers Hyderabad
1422121,Kolkata Knight Riders,CV Varun,4.0,0,55,1,13.75,8,1,7,0,0,Kolkata Knight Riders vs Sunrisers Hyderabad
1422121,Kolkata Knight Riders,Harshit Rana,4.0,0,33,3,8.25,12,3,2,0,0,Kolkata Knight Riders vs Sunrisers Hyderabad
1422121,Kolkata Knight Riders,MA Starc,4.0,0,53,0,13.25,8,3,4,2,0,Kolkata Knight Riders vs Sunrisers Hyderabad
1422121,Kolkata Knight Riders,SP Narine,4.0,0,19,1,4.75,8,0,0,0,0,Kolkata Knight Riders vs Sunrisers Hyderabad
1422121,Kolkata Knight Riders,Suyash Sharma,2.0,0,18,0,9.0,3,1,1,0,0,Kolkata Knight Riders vs Sunrisers Hyderabad
1422121,Sunrisers Hyderabad,B Kumar,4.1,0,51,0,12.24,7,4,3,2,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1422121,Sunrisers Hyderabad,M Jansen,3.0,0,40,0,13.33,5,1,4,1,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1422121,Sunrisers Hyderabad,M Markande,4.0,0,39,2,9.75,10,1,4,0,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1422121,Sunrisers Hyderabad,PJ Cummins,4.0,0,32,1,8.0,8,3,1,0,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1422121,Sunrisers Hyderabad,Shahbaz Ahmed,1.1,0,14,0,12.0,2,1,1,0,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1422121,Sunrisers Hyderabad,T Natarajan,4.0,0,32,3,8.0,9,3,1,3,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1422122,Lucknow Super Giants,A Badoni,1.0,0,6,0,6.0,1,0,0,0,0,Lucknow Super Giants vs Rajasthan Royals
1422122,Lucknow Super Giants,KH Pandya,4.0,0,19,0,4.75,5,0,0,0,0,Lucknow Super Giants vs Rajasthan Royals
1422122,Lucknow Super Giants,Mohsin Khan,4.0,0,45,1,11.25,8,4,3,1,0,Lucknow Super Giants vs Rajasthan Royals
1422122,Lucknow Super Giants,Naveen-ul-Haq,4.0,0,41,2,10.25,8,4,1,4,0,Lucknow Super Giants vs Rajasthan Royals
1422122,Lucknow Super Giants,Ravi Bishnoi,4.0,0,38,1,9.5,5,1,3,0,0,Lucknow Super Giants vs Rajasthan Royals
1422122,Lucknow Super Giants,Yash Thakur,3.1,0,43,0,13.58,3,1,4,1,0,Lucknow Super Giants vs Rajasthan Royals
1422122,Rajasthan Royals,Avesh Khan,3.0,0,21,0,7.0,4,0,1,1,0,Rajasthan Royals vs Rajasthan Royals
1422122,Rajasthan Royals,N Burger,3.0,0,30,1,10.0,7,3,2,0,0,Rajasthan Royals vs Rajasthan Royals
1422122,Rajasthan Royals,R Ashwin,4.0,0,35,1,8.75,4,1,1,1,0,Rajasthan Royals vs Rajasthan Royals
1422122,Rajasthan Royals,Sandeep Sharma,3.0,0,22,1,7.33,5,3,0,1,0,Rajasthan Royals vs Rajasthan Royals
1422122,Rajasthan Royals,TA Boult,4.0,0,35,2,8.75,12,4,2,0,0,Rajasthan Royals vs Rajasthan Royals
1422122,Rajasthan Royals,YS Chahal,3.0,0,25,1,8.33,6,0,2,1,0,Rajasthan Royals vs Rajasthan Royals
1422123,Gujarat Titans,Azmatullah Omarzai,3.0,0,27,2,9.0,10,4,1,2,0,Gujarat Titans vs Mumbai Indians
1422123,Gujarat Titans,MM Sharma,4.0,0,32,2,8.0,7,3,0,1,0,Gujarat Titans vs Mumbai Indians
1422123,Gujarat Titans,R Sai Kishore,4.0,0,24,1,6.0,9,1,1,0,0,Gujarat Titans vs Mumbai Indians
1422123,Gujarat Titans,Rashid Khan,4.0,0,23,0,5.75,11,1,1,0,0,Gujarat Titans vs Mumbai Indians
1422123,Gujarat Titans,SH Johnson,2.0,0,25,2,12.5,3,2,2,0,0,Gujarat Titans vs Mumbai Indians
1422123,Gujarat Titans,UT Yadav,3.0,0,31,2,10.33,9,4,2,0,0,Gujarat Titans vs Mumbai Indians
1422123,Mumbai Indians,G Coetzee,4.0,0,27,2,6.75,5,2,0,0,0,Mumbai Indians vs Mumbai Indians
1422123,Mumbai Indians,HH Pandya,3.0,0,30,0,10.0,5,5,0,0,0,Mumbai Indians vs Mumbai Indians
1422123,Mumbai Indians,JJ Bumrah,4.0,0,14,3,3.5,13,1,0,0,0,Mumbai Indians vs Mumbai Indians
1422123,Mumbai Indians,L Wood,2.1,0,25,0,11.54,3,3,1,1,0,Mumbai Indians vs Mumbai Indians
1422123,Mumbai Indians,Naman Dhir,1.0,0,13,0,13.0,0,2,0,0,0,Mumbai Indians vs Mumbai Indians
1422123,Mumbai Indians,PP Chawla,3.0,0,31,1,10.33,4,0,2,1,0,Mumbai Indians vs Mumbai Indians
1422123,Mumbai Indians,SZ Mulani,3.0,0,24,0,8.0,6,1,1,1,0,Mumbai Indians vs Mumbai Indians
1422124,Punjab Kings,Arshdeep Singh,3.2,0,40,0,12.0,7,5,2,3,0,Punjab Kings vs Royal Challengers Bengaluru
1422124,Punjab Kings,HV Patel,4.0,0,45,1,11.25,6,4,2,3,0,Punjab Kings vs Royal Challengers Bengaluru
1422124,Punjab Kings,Harpreet Brar,4.0,0,13,2,3.25,9,0,0,0,0,Punjab Kings vs Royal Challengers Bengaluru
1422124,Punjab Kings,K Rabada,4.0,0,23,2,5.75,11,3,0,1,0,Punjab Kings vs Royal Challengers Bengaluru
1422124,Punjab Kings,RD Chahar,1.0,0,16,0,16.0,1,0,2,0,0,Punjab Kings vs Royal Challengers Bengaluru
1422124,Punjab Kings,SM Curran,3.0,0,30,1,10.0,7,6,0,0,0,Punjab Kings vs Royal Challengers Bengaluru
1422124,Royal Challengers Bengaluru,AS Joseph,4.0,0,43,1,10.75,8,4,2,2,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422124,Royal Challengers Bengaluru,C Green,2.0,0,19,0,9.5,3,1,1,1,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422124,Royal Challengers Bengaluru,GJ Maxwell,3.0,0,29,2,9.67,6,2,2,0,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422124,Royal Challengers Bengaluru,Mayank Dagar,3.0,0,34,0,11.33,4,1,3,0,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422124,Royal Challengers Bengaluru,Mohammed Siraj,4.0,0,26,2,6.5,11,4,0,0,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422124,Royal Challengers Bengaluru,Yash Dayal,4.0,0,23,1,5.75,12,3,0,2,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422125,Chennai Super Kings,DJ Mitchell,2.0,0,18,1,9.0,2,2,0,1,0,Chennai Super Kings vs Gujarat Titans
1422125,Chennai Super Kings,DL Chahar,4.0,0,28,2,7.0,11,2,1,3,0,Chennai Super Kings vs Gujarat Titans
1422125,Chennai Super Kings,M Pathirana,4.0,0,29,1,7.25,13,2,1,4,0,Chennai Super Kings vs Gujarat Titans
1422125,Chennai Super Kings,Mustafizur Rahman,4.0,0,30,2,7.5,9,5,0,0,0,Chennai Super Kings vs Gujarat Titans
1422125,Chennai Super Kings,RA Jadeja,2.0,0,15,0,7.5,2,1,0,0,0,Chennai Super Kings vs Gujarat Titans
1422125,Chennai Super Kings,TU Deshpande,4.0,0,21,2,5.25,11,1,1,0,0,Chennai Super Kings vs Gujarat Titans
1422125,Gujarat Titans,Azmatullah Omarzai,3.0,0,30,0,10.0,6,4,1,1,0,Gujarat Titans vs Gujarat Titans
1422125,Gujarat Titans,MM Sharma,4.0,0,36,1,9.0,4,2,1,1,0,Gujarat Titans vs Gujarat Titans
1422125,Gujarat Titans,R Sai Kishore,3.0,0,28,1,9.33,6,1,2,2,0,Gujarat Titans vs Gujarat Titans
1422125,Gujarat Titans,Rashid Khan,4.0,0,49,2,12.25,4,4,3,0,0,Gujarat Titans vs Gujarat Titans
1422125,Gujarat Titans,SH Johnson,4.0,0,35,1,8.75,8,3,2,0,0,Gujarat Titans vs Gujarat Titans
1422125,Gujarat Titans,UT Yadav,2.0,0,27,0,13.5,5,3,2,1,0,Gujarat Titans vs Gujarat Titans
1422126,Mumbai Indians,G Coetzee,4.1,0,57,1,13.68,2,4,3,2,0,Mumbai Indians vs Sunrisers Hyderabad
1422126,Mumbai Indians,HH Pandya,4.0,0,46,1,11.5,5,5,2,0,0,Mumbai Indians vs Sunrisers Hyderabad
1422126,Mumbai Indians,JJ Bumrah,4.1,0,36,0,8.64,4,2,1,1,0,Mumbai Indians vs Sunrisers Hyderabad
1422126,Mumbai Indians,KT Maphaka,4.0,0,66,0,16.5,6,7,5,3,0,Mumbai Indians vs Sunrisers Hyderabad
1422126,Mumbai Indians,PP Chawla,2.0,0,34,1,17.0,1,0,4,0,0,Mumbai Indians vs Sunrisers Hyderabad
1422126,Mumbai Indians,SZ Mulani,2.0,0,33,0,16.5,1,1,3,2,0,Mumbai Indians vs Sunrisers Hyderabad
1422126,Sunrisers Hyderabad,B Kumar,4.0,0,53,0,13.25,6,3,5,0,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1422126,Sunrisers Hyderabad,JD Unadkat,4.0,0,47,2,11.75,6,4,3,2,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1422126,Sunrisers Hyderabad,M Markande,4.1,0,52,0,12.48,5,3,4,1,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1422126,Sunrisers Hyderabad,PJ Cummins,4.0,0,35,2,8.75,7,1,2,1,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1422126,Sunrisers Hyderabad,Shahbaz Ahmed,3.0,0,39,1,13.0,4,1,4,0,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1422126,Sunrisers Hyderabad,Umran Malik,1.0,0,15,0,15.0,2,0,2,1,0,Sunrisers Hyderabad vs Sunrisers Hyderabad
1422127,Delhi Capitals,A Nortje,4.0,0,48,1,12.0,6,4,4,0,0,Delhi Capitals vs Rajasthan Royals
1422127,Delhi Capitals,AR Patel,4.0,0,21,1,5.25,6,1,0,0,0,Delhi Capitals vs Rajasthan Royals
1422127,Delhi Capitals,KK Ahmed,4.0,0,24,1,6.0,14,2,1,2,0,Delhi Capitals vs Rajasthan Royals
